master id,description,vampire inability,upgradable,max level,thumbnail,target type,cool time,action type,animate name,ai type,ex type,ai ex type,fun data,level,effect style,attack roate,passive,other skill,relation skill,start effect,special,buff,atk disable,melee dist,effect play,base effect,other effect,extend effect,damage style,damage effect,sound effect,atk info,note
1111,잠재우기,0,1,5,"[0, 8, 0]",4,4,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 6.0]]","[[""AT"",10],[""AT"",10],[""TN"",1],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 16, 4, 100, 2]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[1.5, 1, 0, 1, ""eft_skill_frost_arrow.peft"", ""eft_skill_frost_arrow.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""]]",[],0
1112,화살비,0,1,5,"[0, 9, 0]",5,5,2,ATK_2,DM,DM,"[[4,""RIFT_WDDM""]]","[[""ATK"", ""*"", 0.85]]","[[""AT"",10],[""AT"",10],[""TN"",1],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 7, 1, 20, 2]]",0,0,"[0, 0, 4, 4, 2, 1, 300]","[3, 1, 0, 1, ""eft_skill_arrow_rain.peft"", ""eft_skill_arrow_rain.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_BOOM"", 0, ""SE_MON_Fairy_Fire_Skill_03.ogg""]]",[],0
1113,정령의 분노,0,1,4,"[0, 0, 1]",4,3,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 6.9]]","[[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 0, 2, 2, 3, 1, 1860]","[0.5, 1, 0, 0, ""eft_skill_elementalangry.peft"", ""eft_skill_elementalangry.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_START"", 1000, ""SE_MON_Fairy_Wind_Skill_03_01.ogg""], [""RANGE_BOOM"", 1800, ""SE_MON_Fairy_Wind_Skill_03_02.ogg""]]",[],0
1114,신성한 방패,0,1,4,"[0, 1, 1]",2,6,3,BUFF,RC,RC,"[[4,""RC""]]",[],"[[""TN"",1],[""TN"",1],[""TN"",1]]",0,1,0,0,[],[],"[[20, 0, 0, 0]]","[[0, 17, 1, 100, 2]]",0,0,"[0, 0, 3, 3, 2, 0, 0]","[1, 1, 0,1,  ""eft_skill_cure.peft"", ""eft_skill_cure.png""]",[],[],0,[],"[[""BUFF_START"", 150, ""SE_MON_Fairy_Ice_Skill_02.ogg""]]",[],0
1115,정령의 저주,0,1,5,"[0, 2, 1]",4,4,2,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 7.0]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 18, 1,100, 3]]",0,0,"[0, 0, 4, 4, 4, 1, 1000]","[1, 1, 0, 0, ""eft_skill_curse_of_spirit.peft"", ""eft_skill_curse_of_spirit.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Fairy_Attack_01.ogg""], [""RANGE_BOOM"", 0, ""SE_MON_Fairy_Dark_Skill_03.ogg""]]",[],0
1201,얼음창,0,1,8,"[0, 3, 1]",4,-1,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.7, ""-"", 20]]","[[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",15]]",0,1,0,0,[],[],[],"[[0, 8, 2, 100, 2]]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1202,화염창,0,1,8,"[0, 4, 1]",4,-1,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.7, ""-"", 20]]","[[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",15]]",0,1,0,0,[],[],[],"[[0, 8, 2, 100, 2]]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1203,번개창,0,1,8,"[0, 5, 1]",4,-1,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.7, ""-"", 20]]","[[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",15]]",0,1,0,0,[],[],[],"[[0, 8, 2, 100, 2]]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1204,신성창,0,1,8,"[0, 6, 1]",4,-1,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.7, ""-"", 20]]","[[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",15]]",0,1,0,0,[],[],[],"[[0, 8, 2, 100, 2]]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1205,암흑창,0,1,8,"[0, 7, 1]",4,-1,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.7, ""-"", 20]]","[[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",5],[""AT"",15]]",0,1,0,0,[],[],[],"[[0, 8, 2, 100, 2]]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1206,아이스볼,0,1,5,"[0, 8, 1]",4,3,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 4.8, ""+"", 50]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 2, 1, 100, 1]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[3, 1, 0, 1, ""eft_skill_bolt.peft"", ""eft_skill_bolt_water.png""]",[],[],0,[],"[[""RANGE_START"", 250, ""SE_MON_Imp_Attack_04.ogg""], [""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootBig.ogg""], [""DAMAGE_BOOM"", 0, ""SE_MON_Imp_Ice_Skill_02.ogg""]]",[],0
1207,심장찌르기,0,1,6,"[0, 9, 1]",4,2,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 5.2, ""+"", 50]]","[[""AT"",5],[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],"[[3, 0, 100, 50]]",[],0,0,"[0, 0, 2, 2, 3, 1, 200]","[1.5, 1, 0, 0,  ""eft_skill_fog_sunder.peft"", ""eft_skill_fog_sunder.png""]",[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Fire_Skill_02.ogg""]]",[],0
1208,심장찌르기,0,1,6,"[0, 0, 2]",4,2,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 5.2, ""+"", 50]]","[[""AT"",5],[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],"[[3, 0, 100, 50]]",[],0,0,"[0, 0, 2, 2, 3, 1, 200]","[1.5, 1, 0, 0,  ""eft_skill_fog_sunder.peft"", ""eft_skill_fog_sunder.png""]",[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Wind_Skill_02.ogg""]]",[],0
1209,라이트볼,0,1,5,"[0, 1, 2]",4,3,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 4.8, ""+"", 50]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 1, 1, 100, 1]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[3, 1, 0, 1, ""eft_skill_bolt.peft"", ""eft_skill_bolt_light.png""]",[],[],0,[],"[[""RANGE_START"", 250, ""SE_MON_Imp_Attack_04.ogg""], [""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootBig.ogg""]]",[],0
1210,심장찌르기,0,1,6,"[0, 2, 2]",4,2,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 5.2, ""+"", 50]]","[[""AT"",5],[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],"[[3, 0, 100, 50]]",[],0,0,"[0, 0, 2, 2, 3, 1, 200]","[1.5, 1, 0, 0,  ""eft_skill_fog_sunder.peft"", ""eft_skill_fog_sunder.png""]",[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Fire_Skill_02.ogg""]]",[],0
1211,마구찌르기,0,1,5,"[0, 3, 2]",4,4,1,ATK_3,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.6]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 6, 2, 100, 2]]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""], [""MELEE_START"", 400, ""SE_MON_Imp_Attack_03.ogg""], [""MELEE_START"", 900, ""SE_MON_Imp_Attack_03.ogg""], [""MELEE_START"", 2200, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1212,삼연격,0,1,5,"[0, 4, 2]",4,4,1,ATK_3,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 2.4]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[1, 6, 2, 100, 3], [2, 3, 2, 100, 2], [3, 1, 2, 100, 1] ]",0,0,[],[],[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""], [""MELEE_START"", 400, ""SE_MON_Imp_Attack_03.ogg""], [""MELEE_START"", 900, ""SE_MON_Imp_Attack_03.ogg""]]",[],0
1213,허리케인 스윙,0,1,5,"[0, 5, 2]",5,3,2,ATK_2,DM,DM,"[[4,""RIFT_WDDM""]]","[[""ATK"", ""*"", 4.4]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[3, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, ""eft_skill_hurricane_swing.peft"", ""eft_skill_hurricane_swing.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Imp_Attack_04.ogg""], [""RANGE_START"", 1075, ""SE_MON_Imp_Wind_Skill_03_01.ogg""], [""RANGE_START"", 2475, ""SE_MON_Imp_Wind_Skill_03_02.ogg""]]",[],0
1214,관통찌르기,0,1,5,"[0, 6, 2]",4,4,1,ATK_1,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.7]]","[[""AT"",10],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],"[[8, 0, 100, 100],[3, 0, 100, 50]]",[],0,0,"[0, 0, 2, 2, 3, 1, 500]","[1, 1, 0, 0,  ""eft_skill_penetrate.peft"", ""eft_skill_penetrate.png""]",[],[],0,[],"[[""MELEE_DASH"", 0, ""SE_MON_Imp_Attack_01.ogg""], [""MELEE_DASH"", 400, ""SE_MON_Imp_Attack_02.ogg""], [""MELEE_START"", 100, ""SE_MON_Imp_Attack_03.ogg""], [""RANGE_BOOM"", 400, ""SE_MON_Imp_Light_Skill_03_01.ogg""]]",[],0
1215,학살,0,0,1,"[0, 7, 2]",0,-1,4,NONE,NO,NO,"[[4,""NO""]]",[],[],0,1,7,0,[],[],[],[],0,0,[],[],[],[],0,[],[],[],0
1301,스피릿볼,0,1,8,"[0, 8, 2]",4,-1,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.6, ""+"", 20]]","[[""AT"",5],[""AT"",5],[""DR"",5],[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10]]",0,1,0,0,[],[],[],"[[0, 18, 1, 50, 2]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[2, 1, 0, 1, ""eft_skill_spiritball.peft"", ""eft_skill_spiritball_water.png""]",[],[],0,[],"[[""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""], [""HEAL_VAMPIRE"", 0, ""SE_MON_Pixie_Attack_02.ogg""]]",[],0
1302,스피릿볼,0,1,8,"[0, 9, 2]",4,-1,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.6, ""+"", 20]]","[[""AT"",5],[""AT"",5],[""DR"",5],[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10]]",0,1,0,0,[],[],[],"[[0, 18, 1, 50, 2]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[2, 1, 0, 1, ""eft_skill_spiritball.peft"", ""eft_skill_spiritball_fire.png""]",[],[],0,[],"[[""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""], [""HEAL_VAMPIRE"", 0, ""SE_MON_Pixie_Attack_02.ogg""]]",[],0
1303,스피릿볼,0,1,8,"[0, 0, 3]",4,-1,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.6, ""+"", 20]]","[[""AT"",5],[""AT"",5],[""DR"",5],[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10]]",0,1,0,0,[],[],[],"[[0, 18, 1, 50, 2]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[2, 1, 0, 1, ""eft_skill_spiritball.peft"", ""eft_skill_spiritball_wind.png""]",[],[],0,[],"[[""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""], [""HEAL_VAMPIRE"", 0, ""SE_MON_Pixie_Attack_02.ogg""]]",[],0
1304,스피릿볼,0,1,8,"[0, 1, 3]",4,-1,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.6, ""+"", 20]]","[[""AT"",5],[""AT"",5],[""DR"",5],[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10]]",0,1,0,0,[],[],[],"[[0, 18, 1, 50, 2]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[2, 1, 0, 1, ""eft_skill_spiritball.peft"", ""eft_skill_spiritball_light.png""]",[],[],0,[],"[[""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""], [""HEAL_VAMPIRE"", 0, ""SE_MON_Pixie_Attack_02.ogg""]]",[],0
1305,스피릿볼,0,1,8,"[0, 2, 3]",4,-1,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 3.6, ""+"", 20]]","[[""AT"",5],[""AT"",5],[""DR"",5],[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10]]",0,1,0,0,[],[],[],"[[0, 18, 1, 50, 2]]",0,0,"[0, 1, 1, 2, 1, 0, 0]","[2, 1, 0, 1, ""eft_skill_spiritball.peft"", ""eft_skill_spiritball_dark.png""]",[],[],0,[],"[[""RANGE_FLY"", 0, ""SE_MON_COM_Attack_ShootSmall.ogg""], [""HEAL_VAMPIRE"", 0, ""SE_MON_Pixie_Attack_02.ogg""]]",[],0
1306,감속,0,1,6,"[0, 3, 3]",5,3,2,BUFF,DM,DM,"[[4,""RIFT_WDDM""]]","[[""ATK"", ""*"", 2.1]]","[[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 7, 1, 80, 2]]",0,0,"[0, 0, 4, 4, 2, 1, 500]","[1, 1, 0, 1, ""eft_skill_headwind.peft"", ""eft_skill_headwind.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 150, ""SE_MON_Pixie_Ice_Skill_02.ogg""]]",[],0
1307,점화,0,1,5,"[0, 4, 3]",4,2,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 4.6, ""+"", 90]]","[[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 6, 1, 100, 3]]",0,0,"[0, 0, 4, 4, 2, 1, 400]","[0.8, 1, 0, 1, ""eft_skill_burn.peft"", ""eft_skill_burn.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 300, ""SE_MON_Pixie_Fire_Skill_02.ogg""]]",[],0
1308,감속,0,1,6,"[0, 3, 3]",5,3,2,BUFF,DM,DM,"[[4,""RIFT_WDDM""]]","[[""ATK"", ""*"", 2.1]]","[[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 7, 1, 80, 2]]",0,0,"[0, 0, 4, 4, 2, 1, 500]","[1, 1, 0, 1, ""eft_skill_headwind.peft"", ""eft_skill_headwind.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 150, ""SE_MON_Pixie_Ice_Skill_02.ogg""]]",[],0
1309,점화,0,1,5,"[0, 5, 3]",4,2,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 4.6, ""+"", 90]]","[[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 6, 1, 100, 3]]",0,0,"[0, 0, 4, 4, 2, 1, 400]","[0.8, 1, 0, 1, ""eft_skill_burn.peft"", ""eft_skill_burn_light.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 300, ""SE_MON_Pixie_Fire_Skill_02.ogg""]]",[],0
1310,감속,0,1,6,"[0, 3, 3]",5,3,2,BUFF,DM,DM,"[[4,""RIFT_WDDM""]]","[[""ATK"", ""*"", 2.1]]","[[""AT"",10],[""DR"",10],[""AT"",10],[""DR"",10],[""TN"",1]]",0,1,0,0,[],[],[],"[[0, 7, 1, 80, 2]]",0,0,"[0, 0, 4, 4, 2, 1, 500]","[1, 1, 0, 1, ""eft_skill_headwind.peft"", ""eft_skill_headwind.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 150, ""SE_MON_Pixie_Ice_Skill_02.ogg""]]",[],0
1311,별똥별,0,1,5,"[0, 6, 3]",4,4,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 1.6]]","[[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],[],[],0,0,"[0, 0, 4, 4, 2, 1, 200]","[1, 1, 0, 1, ""eft_skill_shootingstar.peft"", ""eft_skill_shootingstar.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 400, ""SE_MON_Pixie_Ice_Skill_03.ogg""]]",[],0
1312,소각,0,1,5,"[0, 7, 3]",4,3,2,ATK_2,DM,DM,"[[4,""DM""]]","[[""ATK"", ""*"", 5.8]]","[[""AT"",5],[""AT"",10],[""AT"",10],[""TN"",1]]",0,1,0,0,[],[],"[[11, 0, 100, 100]]",[],0,0,"[0, 0, 2, 2, 3, 1, 400]","[0.7, 1, 0, 0, ""eft_skill_incineration.peft"", ""eft_skill_incineration.png""]",[],[],0,[],"[[""RANGE_START"", 0, ""SE_MON_Pixie_Attack_01.ogg""], [""RANGE_BOOM"", 500, ""SE_MON_Pixie_Fire_Skill_03.ogg""]]",[],0
